,Team,Position,Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
103,Oklahoma City Thunder,,Steven Adams,Utah Jazz,L,10/23/2019,27:42,1,8,.125,0,0,,1,6,.167,3,8,11,2,1,0,2,4,3,-1
104,Oklahoma City Thunder,,Terrance Ferguson,Utah Jazz,L,10/23/2019,23:51,0,0,,0,0,,2,2,1.000,1,1,2,1,0,0,1,2,2,-9
105,Utah Jazz,,Rudy Gobert,Oklahoma City Thunder,W,10/23/2019,37:55,3,6,.500,0,0,,1,3,.333,3,11,14,0,0,1,4,5,7,+13
106,Utah Jazz,,Donovan Mitchell,Oklahoma City Thunder,W,10/23/2019,36:24,14,22,.636,1,3,.333,3,4,.750,5,7,12,3,1,0,1,4,32,+9
107,Utah Jazz,,Royce O'Neale,Oklahoma City Thunder,W,10/23/2019,30:07,6,6,1.000,2,2,1.000,0,0,,0,5,5,0,1,0,1,4,14,-2
108,Utah Jazz,,Mike Conley,Oklahoma City Thunder,W,10/23/2019,26:43,1,16,.063,0,6,.000,3,4,.750,0,0,0,5,1,0,2,5,5,+1
109,Utah Jazz,,Bojan Bogdanović,Oklahoma City Thunder,W,10/23/2019,23:54,6,14,.429,1,5,.200,3,3,1.000,0,3,3,0,1,0,0,2,16,+2
110,Denver Nuggets,,Gary Harris,Portland Trail Blazers,W,10/23/2019,35:14,3,11,.273,1,5,.200,1,1,1.000,0,3,3,0,2,0,5,5,8,+5
111,Denver Nuggets,,Jamal Murray,Portland Trail Blazers,W,10/23/2019,33:47,4,14,.286,3,6,.500,3,4,.750,1,4,5,6,1,0,2,1,14,+9
112,Denver Nuggets,,Paul Millsap,Portland Trail Blazers,W,10/23/2019,31:46,3,8,.375,3,4,.750,2,2,1.000,0,5,5,2,3,2,2,3,11,+4
113,Denver Nuggets,,Will Barton,Portland Trail Blazers,W,10/23/2019,31:26,3,8,.375,2,3,.667,11,12,.917,1,4,5,2,2,1,1,1,19,+2
114,Denver Nuggets,,Nikola Jokić,Portland Trail Blazers,W,10/23/2019,23:54,8,14,.571,3,5,.600,1,2,.500,4,9,13,2,0,0,4,4,20,+14
115,Portland Trail Blazers,,Damian Lillard,Denver Nuggets,L,10/23/2019,37:49,10,21,.476,3,10,.300,9,10,.900,1,3,4,8,1,0,3,3,32,0
116,Portland Trail Blazers,,CJ McCollum,Denver Nuggets,L,10/23/2019,35:50,5,18,.278,2,4,.500,0,0,,2,1,3,3,1,0,5,3,12,-10
117,Portland Trail Blazers,,Rodney Hood,Denver Nuggets,L,10/23/2019,31:10,5,10,.500,2,5,.400,1,1,1.000,1,4,5,1,0,0,2,4,13,+3
118,Portland Trail Blazers,,Zach Collins,Denver Nuggets,L,10/23/2019,30:30,4,9,.444,0,2,.000,0,0,,1,4,5,0,0,2,2,3,8,+2
119,Portland Trail Blazers,,Hassan Whiteside,Denver Nuggets,L,10/23/2019,26:03,6,7,.857,0,0,,4,4,1.000,5,14,19,0,0,2,4,4,16,0
120,Sacramento Kings,,Buddy Hield,Phoenix Suns,L,10/23/2019,31:10,10,19,.526,6,12,.500,2,2,1.000,2,3,5,2,0,0,5,2,28,-15
121,Sacramento Kings,,Harrison Barnes,Phoenix Suns,L,10/23/2019,30:10,5,11,.455,1,3,.333,1,3,.333,0,6,6,1,1,0,4,3,12,-20
122,Sacramento Kings,,Marvin Bagley,Phoenix Suns,L,10/23/2019,27:42,6,16,.375,0,0,,2,4,.500,4,6,10,0,1,1,1,1,14,-21
123,Sacramento Kings,,De'Aaron Fox,Phoenix Suns,L,10/23/2019,26:33,3,7,.429,0,1,.000,2,4,.500,0,1,1,5,0,0,5,5,8,-17
124,Sacramento Kings,,Dewayne Dedmon,Phoenix Suns,L,10/23/2019,14:13,1,3,.333,0,1,.000,1,1,1.000,1,5,6,1,0,1,2,3,3,-7
125,Phoenix Suns,,Deandre Ayton,Sacramento Kings,W,10/23/2019,33:24,9,14,.643,0,0,,0,0,,3,8,11,0,1,4,0,2,18,+25
126,Phoenix Suns,,Devin Booker,Sacramento Kings,W,10/23/2019,32:18,10,17,.588,2,4,.500,0,1,.000,0,2,2,10,1,0,3,5,22,+25
127,Phoenix Suns,,Kelly Oubre,Sacramento Kings,W,10/23/2019,30:04,8,17,.471,1,6,.167,4,4,1.000,2,7,9,1,1,2,2,1,21,+19
128,Phoenix Suns,,Ricky Rubio,Sacramento Kings,W,10/23/2019,29:41,4,12,.333,0,2,.000,3,4,.750,2,4,6,11,4,0,4,2,11,+15
129,Phoenix Suns,,Dario Šarić,Sacramento Kings,W,10/23/2019,21:16,2,7,.286,1,4,.250,2,2,1.000,0,4,4,0,1,1,0,1,7,+12
130,Atlanta Hawks,,Trae Young,Detroit Pistons,W,10/24/2019,37:15,11,21,.524,6,10,.600,10,12,.833,0,7,7,9,1,0,6,0,38,+17
131,Atlanta Hawks,,John Collins,Detroit Pistons,W,10/24/2019,30:14,8,15,.533,1,3,.333,1,1,1.000,3,7,10,1,2,1,0,2,18,+4
132,Atlanta Hawks,,De'Andre Hunter,Detroit Pistons,W,10/24/2019,25:27,5,8,.625,2,3,.667,2,2,1.000,0,2,2,0,0,0,2,0,14,+12
133,Atlanta Hawks,,Alex Len,Detroit Pistons,W,10/24/2019,23:53,1,5,.200,0,2,.000,2,2,1.000,2,4,6,1,2,1,1,2,4,+1
134,Atlanta Hawks,,Cam Reddish,Detroit Pistons,W,10/24/2019,21:27,0,6,.000,0,5,.000,1,2,.500,1,6,7,1,1,0,0,1,1,+11
135,Detroit Pistons,,Andre Drummond,Atlanta Hawks,L,10/24/2019,36:45,8,12,.667,0,0,,5,6,.833,1,11,12,2,4,1,4,4,21,-15
136,Detroit Pistons,,Tony Snell,Atlanta Hawks,L,10/24/2019,33:36,3,8,.375,3,7,.429,0,0,,1,1,2,2,0,1,0,2,9,-17
137,Detroit Pistons,,Markieff Morris,Atlanta Hawks,L,10/24/2019,25:43,3,11,.273,1,4,.250,0,0,,3,3,6,2,0,0,2,3,7,-14
138,Detroit Pistons,,Bruce Brown,Atlanta Hawks,L,10/24/2019,17:24,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,5,2,-14
139,Detroit Pistons,,Reggie Jackson,Atlanta Hawks,L,10/24/2019,15:25,2,8,.250,0,3,.000,1,1,1.000,1,3,4,3,0,0,0,1,5,-1
140,Milwaukee Bucks,,Khris Middleton,Houston Rockets,W,10/24/2019,33:20,4,16,.250,3,9,.333,0,0,,1,7,8,3,1,1,2,2,11,+2
141,Milwaukee Bucks,,Wesley Matthews,Houston Rockets,W,10/24/2019,30:23,6,12,.500,2,8,.250,0,0,,0,4,4,1,2,1,1,0,14,+4
142,Milwaukee Bucks,,Giannis Antetokounmpo,Houston Rockets,W,10/24/2019,28:10,11,17,.647,2,5,.400,6,11,.545,0,13,13,11,1,1,3,6,30,+8
143,Milwaukee Bucks,,Brook Lopez,Houston Rockets,W,10/24/2019,26:53,4,9,.444,1,3,.333,2,2,1.000,0,2,2,3,0,5,0,2,11,+5
144,Milwaukee Bucks,,Eric Bledsoe,Houston Rockets,W,10/24/2019,16:05,4,12,.333,2,4,.500,1,1,1.000,0,1,1,2,0,0,1,3,11,-6
145,Houston Rockets,,P.J. Tucker,Milwaukee Bucks,L,10/24/2019,38:21,6,10,.600,5,8,.625,0,0,,2,5,7,0,1,0,2,5,17,-5
146,Houston Rockets,,James Harden,Milwaukee Bucks,L,10/24/2019,36:26,2,13,.154,1,8,.125,14,14,1.000,2,5,7,14,1,1,7,5,19,-3
147,Houston Rockets,,Russell Westbrook,Milwaukee Bucks,L,10/24/2019,32:52,7,17,.412,3,7,.429,7,11,.636,4,12,16,7,2,1,3,3,24,0
148,Houston Rockets,,Clint Capela,Milwaukee Bucks,L,10/24/2019,30:54,5,10,.500,0,0,,3,6,.500,0,12,12,0,1,3,0,4,13,+2
149,Houston Rockets,,Danuel House,Milwaukee Bucks,L,10/24/2019,26:04,2,6,.333,2,4,.500,2,2,1.000,0,2,2,3,1,1,1,2,8,+10
150,Los Angeles Clippers,,Landry Shamet,Golden State Warriors,W,10/24/2019,33:56,4,5,.800,3,4,.750,0,0,,0,0,0,3,0,1,1,2,11,+15
151,Los Angeles Clippers,,Patrick Beverley,Golden State Warriors,W,10/24/2019,28:14,2,4,.500,1,3,.333,0,0,,0,4,4,3,5,0,2,3,5,+20
152,Los Angeles Clippers,,Patrick Patterson,Golden State Warriors,W,10/24/2019,28:10,7,13,.538,6,10,.600,0,0,,0,3,3,1,0,0,1,3,20,+30
153,Los Angeles Clippers,,Kawhi Leonard,Golden State Warriors,W,10/24/2019,21:26,9,17,.529,1,3,.333,2,4,.500,0,5,5,9,0,0,1,0,21,+27
154,Los Angeles Clippers,,Ivica Zubac,Golden State Warriors,W,10/24/2019,17:52,4,5,.800,0,0,,8,9,.889,1,9,10,1,0,2,1,2,16,+22
155,Golden State Warriors,,D'Angelo Russell,Los Angeles Clippers,L,10/24/2019,33:15,6,16,.375,4,8,.500,4,4,1.000,0,0,0,8,0,0,1,2,20,-35
156,Golden State Warriors,,Glenn Robinson,Los Angeles Clippers,L,10/24/2019,30:14,5,10,.500,1,4,.250,2,2,1.000,2,3,5,2,0,0,0,3,13,-22
157,Golden State Warriors,,Stephen Curry,Los Angeles Clippers,L,10/24/2019,29:48,8,20,.400,2,11,.182,5,5,1.000,1,3,4,4,1,0,8,3,23,-19
